player 1,player 2,player 3,player 4,player 5,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK","SCARLETT,MICHAEL",00:00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","MYERS,PATRICK","SCARLETT,MICHAEL",00:01:17,-2,0,2,2,0,0,0,0,0,0,0,0,2,2,0,1,1,1,2,0,0,1,0
"ELY,JACK","HORN,JEREMY","LYNDS,SCOTT","PRESIDENT,MILES","SCARLETT,MICHAEL",00:02:20,2,5,4,1,1,1,1,2,1,0,1,0,3,3,1,0,1,1,1,0,0,0,2
"ELY,JACK","HALL,RILEY","KIRSCH,MAXWELL","LYNDS,SCOTT","MYERS,PATRICK",00:03:05,-5,3,3,0,0,3,0,1,1,2,0,0,8,5,2,1,0,1,0,2,1,2,0
"DAVIS,EVAN","ELY,JACK","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES",00:02:05,-4,4,3,0,1,1,1,2,0,0,0,2,8,4,0,0,1,2,0,1,0,3,2
"HALL,RILEY","HORN,JEREMY","LYNDS,SCOTT","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:41,-3,0,1,0,0,1,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,1,1
"ELY,JACK","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:02:07,1,4,4,1,1,1,2,2,0,0,1,0,3,3,0,0,2,1,0,0,1,0,2
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","LYNDS,SCOTT","MORRIS,KENDRICK",00:00:37,2,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2
"HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:13:40,23,39,21,3,3,2,9,3,5,2,12,7,16,21,3,1,11,3,9,2,3,4,5
"DAVIS,EVAN","ELY,JACK","HORN,JEREMY","LYNDS,SCOTT","PRESIDENT,MILES",00:00:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HORN,JEREMY","KIRSCH,MAXWELL","LYNDS,SCOTT","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:59,0,2,2,0,0,0,1,0,0,1,0,0,2,2,1,1,0,1,0,0,0,0,0
"ELY,JACK","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:01:00,3,3,2,0,1,0,1,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0
"ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:02:43,3,10,4,0,0,0,2,0,2,0,2,0,7,4,1,0,0,2,0,1,0,2,0
"HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:08:47,-5,14,14,2,1,6,7,5,0,0,4,3,19,14,2,3,4,6,4,1,2,5,6
