player 1,player 2,player 3,player 4,player 5,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"DAVIS,EVAN","HALL,RILEY","LEVINE,JD","MYERS,PATRICK","SCARLETT,MICHAEL",00:02:14,-4,2,3,1,1,1,1,1,0,1,0,0,6,4,0,1,1,3,1,0,1,1,0
"ELY,JACK","KIRSCH,MAXWELL","LYNDS,SCOTT","MYERS,PATRICK","SCARLETT,MICHAEL",00:01:30,1,3,2,0,0,1,0,0,1,1,1,0,2,2,0,0,1,0,0,0,1,0,2
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK",00:00:31,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0
"DAVIS,EVAN","HALL,RILEY","KUSCH,RYAN","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:01:13,0,2,2,0,0,1,1,1,0,0,1,0,2,2,0,1,2,1,1,0,1,0,1
"DAVIS,EVAN","HORN,JEREMY","LEVINE,JD","MKPADO,KELE","PRESIDENT,MILES",00:00:01,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","LYNDS,SCOTT","MYERS,PATRICK",00:01:05,4,4,2,0,0,1,2,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0
"ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:06:51,13,23,12,0,2,3,4,3,4,2,4,3,10,12,5,0,3,2,1,1,2,2,4
"DAVIS,EVAN","HALL,RILEY","MADDOCK,ANDREW","PRESIDENT,MILES","SCARLETT,MICHAEL",00:04:00,1,5,6,2,1,2,1,2,1,1,1,0,4,6,0,0,4,1,2,0,2,0,2
"DAVIS,EVAN","ELY,JACK","LEVINE,JD","MORRIS,KENDRICK","PRESIDENT,MILES",00:00:48,0,2,1,0,0,0,1,0,0,0,1,0,2,1,0,1,0,1,1,0,0,0,0
"DAVIS,EVAN","KIRSCH,MAXWELL","LEVINE,JD","MKPADO,KELE","MYERS,PATRICK",00:00:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","HORN,JEREMY","LYNDS,SCOTT",00:01:22,3,5,2,0,1,0,2,0,0,1,0,1,2,2,0,0,1,0,1,0,0,0,2
"ELY,JACK","HALL,RILEY","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:21:21,-5,27,40,10,1,16,9,9,1,7,3,8,32,32,6,1,13,7,11,4,3,6,9
"DAVIS,EVAN","ELY,JACK","KUSCH,RYAN","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:02:39,0,8,5,1,0,0,1,0,0,0,0,7,8,4,1,1,0,2,0,1,0,2,2
"DAVIS,EVAN","HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK","SCARLETT,MICHAEL",00:05:27,1,9,6,1,1,1,4,1,0,0,2,2,8,8,2,3,3,1,5,1,1,2,3
"KIRSCH,MAXWELL","LEVINE,JD","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:01:02,1,2,2,0,0,1,1,1,0,0,0,0,1,2,0,0,2,0,0,0,1,0,2
"DAVIS,EVAN","KIRSCH,MAXWELL","LEVINE,JD","MYERS,PATRICK","PRESIDENT,MILES",00:01:06,-3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,1,0,0,2,1,1
"DAVIS,EVAN","ELY,JACK","KUSCH,RYAN","MYERS,PATRICK","SCARLETT,MICHAEL",00:02:27,-4,2,4,1,0,3,1,1,0,0,0,2,6,6,0,3,5,2,3,0,3,0,4
"ELY,JACK","HORN,JEREMY","LYNDS,SCOTT","PRESIDENT,MILES","SCARLETT,MICHAEL",00:02:20,2,5,4,1,1,1,1,2,1,0,1,0,3,3,1,0,1,1,1,0,0,0,2
"DAVIS,EVAN","HALL,RILEY","KUSCH,RYAN","MORRIS,KENDRICK","PRESIDENT,MILES",00:02:14,-5,0,2,1,0,1,0,0,0,1,0,0,5,3,0,1,1,1,2,1,0,1,0
"ELY,JACK","HALL,RILEY","KUSCH,RYAN","MORRIS,KENDRICK","PRESIDENT,MILES",00:03:23,5,6,4,1,1,0,3,1,0,0,2,0,1,5,1,1,3,0,4,0,0,0,2
"DAVIS,EVAN","KIRSCH,MAXWELL","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:02:42,-5,2,6,4,1,1,1,1,0,1,0,0,7,5,0,0,2,2,1,1,1,2,0
"KIRSCH,MAXWELL","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:04:33,2,13,9,1,0,3,2,2,2,1,3,3,11,10,1,0,4,1,3,0,0,0,10
