player 1,player 2,player 3,player 4,player 5,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","HORN,JEREMY","LEVINE,JD",00:01:35,1,2,3,1,0,1,1,0,0,1,1,0,1,3,0,0,2,0,1,0,1,0,1
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","LEVINE,JD","MORRIS,KENDRICK",00:02:14,-1,2,3,1,0,1,1,0,0,1,1,0,3,3,1,1,1,0,2,1,0,1,0
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK",00:01:01,2,2,3,1,0,1,1,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0
"DAVIS,EVAN","ELY,JACK","HORN,JEREMY","KIRSCH,MAXWELL","LEVINE,JD",00:01:17,3,3,2,1,1,0,0,0,1,1,1,0,0,2,1,0,1,0,1,0,0,0,0
"DAVIS,EVAN","ELY,JACK","HORN,JEREMY","KIRSCH,MAXWELL","LYNDS,SCOTT",00:00:47,0,3,2,0,0,1,0,1,1,0,1,0,3,1,0,1,0,0,0,1,1,1,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","LEVINE,JD","MORRIS,KENDRICK",00:00:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","LEVINE,JD","MYERS,PATRICK",00:01:02,2,2,2,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","LYNDS,SCOTT","MYERS,PATRICK",00:02:20,-8,0,3,2,2,1,0,3,0,0,0,0,8,4,0,0,0,2,0,1,0,3,2
"DAVIS,EVAN","HALL,RILEY","LEVINE,JD","MORRIS,KENDRICK","PRESIDENT,MILES",00:01:23,1,3,1,0,0,0,0,0,1,0,1,0,2,2,0,1,1,0,1,0,1,0,2
"DAVIS,EVAN","HORN,JEREMY","KUSCH,RYAN","LEVINE,JD","MKPADO,KELE",00:00:14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELY,JACK","HALL,RILEY","HORN,JEREMY","LYNDS,SCOTT","SCARLETT,MICHAEL",00:01:45,4,4,2,0,0,0,2,0,0,0,1,0,0,4,2,1,2,0,1,0,2,0,0
"ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:01:01,1,2,3,1,0,1,1,1,0,0,0,0,1,2,1,1,1,0,1,0,0,0,2
"ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK","SCARLETT,MICHAEL",00:03:42,5,10,7,1,0,1,4,1,0,0,0,3,5,8,3,0,3,0,1,1,2,1,2
"ELY,JACK","HORN,JEREMY","KIRSCH,MAXWELL","LYNDS,SCOTT","SCARLETT,MICHAEL",00:03:25,7,10,5,0,0,1,2,1,2,0,2,0,3,5,1,0,3,0,3,1,0,1,0
"GARVIN,SAM","HORN,JEREMY","KUSCH,RYAN","LEVINE,JD","MKPADO,KELE",00:00:45,1,3,1,0,0,0,0,0,1,0,1,0,2,2,0,0,1,1,1,0,0,0,0
"GARVIN,SAM","KUSCH,RYAN","MKPADO,KELE","SUI,MARK","WALKER,GEORGE",00:01:41,-3,1,3,1,0,2,0,1,0,0,0,2,4,3,1,0,0,0,0,0,0,0,4
"HALL,RILEY","HORN,JEREMY","LYNDS,SCOTT","PRESIDENT,MILES","SCARLETT,MICHAEL",00:02:04,-2,0,3,1,2,2,0,1,0,3,0,0,2,3,0,1,2,1,2,0,0,0,1
"HALL,RILEY","LEVINE,JD","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:01:17,0,2,2,0,0,1,1,0,0,1,1,0,2,3,0,0,3,1,0,0,2,0,1
"HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:06:02,3,13,10,1,2,4,4,3,1,2,2,3,10,10,1,0,5,2,3,2,1,1,2
"HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:04:55,6,13,8,1,2,2,4,0,1,2,1,4,7,7,2,1,2,1,0,1,3,0,2
"HORN,JEREMY","KIRSCH,MAXWELL","LYNDS,SCOTT","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"KIRSCH,MAXWELL","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:44,3,3,2,0,0,1,1,0,0,0,1,2,0,1,0,0,1,0,1,0,0,0,0
