player 1,player 2,player 3,player 4,player 5,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"BODOIA,JOEY","DAVIS,EVAN","LEVINE,JD","MORRIS,KENDRICK","PRESIDENT,MILES",00:00:50,0,3,2,1,0,0,0,0,1,0,0,0,3,2,1,0,0,0,0,1,0,1,0
"BODOIA,JOEY","DAVIS,EVAN","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES",00:01:58,0,2,3,0,0,2,1,1,0,1,0,0,2,4,1,0,2,1,2,0,0,0,0
"BODOIA,JOEY","ELY,JACK","KIRSCH,MITCHELL","LEVINE,JD","MORRIS,KENDRICK",00:00:07,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BODOIA,JOEY","ELY,JACK","KIRSCH,MITCHELL","LEVINE,JD","MYERS,PATRICK",00:00:36,0,2,1,0,0,0,1,0,0,0,0,0,2,2,0,0,2,1,1,0,0,0,1
"BODOIA,JOEY","ELY,JACK","KIRSCH,MITCHELL","LYNDS,SCOTT","MORRIS,KENDRICK",00:01:17,0,2,2,1,0,0,0,0,0,0,0,2,2,2,0,0,1,1,0,0,1,0,0
"BODOIA,JOEY","ELY,JACK","KIRSCH,MITCHELL","LYNDS,SCOTT","MYERS,PATRICK",00:00:27,-1,2,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,1,0,1,0
"BODOIA,JOEY","KIRSCH,MITCHELL","LEVINE,JD","MORRIS,KENDRICK","PRESIDENT,MILES",00:02:41,0,2,4,2,0,1,1,0,0,1,1,0,2,4,0,1,4,1,0,0,5,1,1
"BODOIA,JOEY","KIRSCH,MITCHELL","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES",00:00:35,-1,1,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,1,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","LYNDS,SCOTT","MORRIS,KENDRICK",00:02:01,0,2,4,1,2,2,1,2,0,2,0,0,2,4,1,0,2,1,1,0,1,0,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MITCHELL","LYNDS,SCOTT","MORRIS,KENDRICK",00:01:12,-4,0,3,3,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,0,0,1,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MITCHELL","LYNDS,SCOTT","MYERS,PATRICK",00:01:30,-4,0,2,0,1,2,0,2,0,1,0,0,4,2,0,0,0,2,0,0,0,0,0
"DAVIS,EVAN","ELY,JACK","LEVINE,JD","MORRIS,KENDRICK","PRESIDENT,MILES",00:00:30,2,2,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0
"DAVIS,EVAN","ELY,JACK","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES",00:06:01,-5,9,10,3,4,3,3,3,1,4,4,0,14,10,1,1,5,1,1,3,4,3,4
"DAVIS,EVAN","ELY,JACK","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES",00:01:15,-1,2,3,2,0,0,0,0,0,0,0,2,3,2,1,0,0,0,0,1,0,1,0
"DAVIS,EVAN","KIRSCH,MAXWELL","LYNDS,SCOTT","MYERS,PATRICK","SEGURA,NICOLAS",00:00:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAVIS,EVAN","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES","SEGURA,NICOLAS",00:01:10,0,2,2,1,1,0,1,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0
"ELY,JACK","KIRSCH,MITCHELL","LEVINE,JD","MORRIS,KENDRICK","PRESIDENT,MILES",00:04:46,-11,9,9,1,1,5,2,1,1,3,1,4,20,9,0,2,1,3,1,1,2,3,12
"ELY,JACK","KIRSCH,MITCHELL","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES",00:03:46,7,9,7,2,1,1,3,2,1,0,2,0,2,8,3,1,4,1,2,0,3,1,0
"ELY,JACK","KIRSCH,MITCHELL","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES",00:05:01,6,17,11,3,0,1,4,0,2,0,3,4,11,9,2,3,2,3,1,1,4,1,2
"ELY,JACK","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES","SEGURA,NICOLAS",00:00:15,-2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2
"KIRSCH,MAXWELL","KIRSCH,MITCHELL","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES",00:01:34,-3,2,3,2,1,0,1,1,0,0,1,0,5,2,0,0,0,1,0,1,0,1,0
"KIRSCH,MITCHELL","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES","SEGURA,NICOLAS",00:02:19,4,6,4,0,0,1,3,1,0,0,2,0,2,4,2,0,1,1,1,0,0,0,0
