player 1,player 2,player 3,player 4,player 5,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","MYERS,PATRICK","PRESIDENT,MILES",00:04:22,0,5,7,2,0,3,1,2,1,1,0,0,5,7,1,2,4,1,4,1,3,1,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:01:36,-6,0,2,1,0,1,0,0,0,1,0,0,6,3,0,0,1,0,0,2,1,2,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","MYERS,PATRICK","PRESIDENT,MILES",00:00:20,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"DAVIS,EVAN","HALL,RILEY","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:08:27,-3,16,14,3,2,4,5,5,2,1,4,0,19,15,1,1,6,4,2,3,5,4,2
"DAVIS,EVAN","HALL,RILEY","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:03:41,-1,4,7,2,1,3,1,2,0,2,1,2,5,6,0,0,4,1,3,1,1,1,0
"ELY,JACK","HALL,RILEY","MADDOCK,ANDREW","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"ELY,JACK","HALL,RILEY","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:16:50,13,36,30,8,5,6,10,6,3,2,5,11,23,29,7,8,12,5,6,3,12,2,8
"ELY,JACK","HALL,RILEY","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:01:39,-6,0,3,3,0,0,0,0,0,0,0,0,6,2,1,0,0,1,0,1,0,0,1
"ELY,JACK","KIRSCH,MAXWELL","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:01:29,4,4,2,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0
"ELY,JACK","KIRSCH,MAXWELL","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:01:11,2,2,2,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
