player 1,player 2,player 3,player 4,player 5,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","HORN,JEREMY","LEVINE,JD",00:01:35,1,2,3,1,0,1,1,0,0,1,1,0,1,3,0,0,2,0,1,0,1,0,1
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","HORN,JEREMY","LYNDS,SCOTT",00:00:23,-2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","HORN,JEREMY","PRESIDENT,MILES",00:00:36,-2,0,1,0,0,1,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","HORN,JEREMY","SCARLETT,MICHAEL",00:02:51,0,5,8,2,4,4,1,2,1,5,1,1,5,6,2,0,2,2,0,0,1,0,2
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","LEVINE,JD","MORRIS,KENDRICK",00:02:14,-1,2,3,1,0,1,1,0,0,1,1,0,3,3,1,1,1,0,2,1,0,1,0
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK",00:03:04,3,9,7,1,0,2,4,0,0,1,1,2,6,5,1,1,1,2,2,0,0,0,2
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","MADDOCK,ANDREW","SCARLETT,MICHAEL",00:04:49,3,9,7,2,1,1,3,1,1,2,1,0,6,7,3,2,1,1,1,0,2,0,4
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","MORRIS,KENDRICK","PRESIDENT,MILES",00:01:55,-2,3,2,0,1,1,0,1,1,1,1,0,5,2,0,0,0,1,0,1,0,0,0
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:20:32,5,35,35,5,5,14,10,13,4,6,5,4,30,36,8,3,16,5,12,5,6,5,7
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","MYERS,PATRICK","PRESIDENT,MILES",00:05:21,3,10,9,2,0,3,1,2,2,1,1,2,7,8,1,2,4,2,4,1,3,2,0
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","MYERS,PATRICK","SCARLETT,MICHAEL",00:06:19,-7,4,8,1,2,5,1,5,0,1,1,3,11,10,1,0,5,1,1,3,4,2,0
"DAVIS,EVAN","ELY,JACK","HORN,JEREMY","KIRSCH,MAXWELL","LEVINE,JD",00:01:17,3,3,2,1,1,0,0,0,1,1,1,0,0,2,1,0,1,0,1,0,0,0,0
"DAVIS,EVAN","ELY,JACK","HORN,JEREMY","KIRSCH,MAXWELL","LYNDS,SCOTT",00:00:47,0,3,2,0,0,1,0,1,1,0,1,0,3,1,0,1,0,0,0,1,1,1,0
"DAVIS,EVAN","ELY,JACK","HORN,JEREMY","KIRSCH,MAXWELL","SCARLETT,MICHAEL",00:01:30,-5,2,3,1,0,1,1,1,0,0,0,0,7,4,1,0,0,1,0,1,0,2,2
"DAVIS,EVAN","ELY,JACK","HORN,JEREMY","PRESIDENT,MILES","SCARLETT,MICHAEL",00:01:11,-5,0,1,0,1,1,0,1,0,0,0,2,5,2,0,1,0,0,1,1,0,0,2
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","LEVINE,JD","MORRIS,KENDRICK",00:00:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","LEVINE,JD","MYERS,PATRICK",00:01:02,2,2,2,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","LYNDS,SCOTT","MYERS,PATRICK",00:02:20,-8,0,3,2,2,1,0,3,0,0,0,0,8,4,0,0,0,2,0,1,0,3,2
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","MADDOCK,ANDREW","SCARLETT,MICHAEL",00:02:58,2,9,6,0,2,2,1,3,2,2,2,2,7,6,2,0,1,1,0,1,0,2,4
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","MORRIS,KENDRICK","PRESIDENT,MILES",00:02:06,3,5,3,0,0,1,1,0,1,1,0,0,2,3,0,0,2,1,1,0,1,1,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:06:39,-6,11,11,3,0,3,4,0,1,3,1,0,17,12,1,0,3,5,2,2,1,4,2
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","MYERS,PATRICK","PRESIDENT,MILES",00:00:57,-1,2,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,1,0,0,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","MYERS,PATRICK","SCARLETT,MICHAEL",00:02:32,0,2,4,1,1,2,1,2,0,1,1,0,2,2,1,0,0,1,0,0,0,0,0
"DAVIS,EVAN","ELY,JACK","LYNDS,SCOTT","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:00:34,-1,1,2,1,1,0,0,0,0,0,0,2,2,2,0,0,1,0,0,0,1,0,2
"DAVIS,EVAN","ELY,JACK","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:06:01,0,10,9,1,1,3,4,3,0,1,0,2,10,9,2,0,3,3,2,1,0,2,2
"DAVIS,EVAN","ELY,JACK","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:23,-2,0,1,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2
"DAVIS,EVAN","HALL,RILEY","HORN,JEREMY","KUSCH,RYAN","LEVINE,JD",00:01:29,-4,2,2,1,0,0,1,0,0,0,1,0,6,2,1,0,0,1,0,1,0,2,1
"DAVIS,EVAN","HALL,RILEY","HORN,JEREMY","LEVINE,JD","SCARLETT,MICHAEL",00:01:01,3,5,3,0,0,1,0,1,1,0,1,2,2,2,0,1,1,1,1,0,1,1,0
"DAVIS,EVAN","HALL,RILEY","HORN,JEREMY","LYNDS,SCOTT","SCARLETT,MICHAEL",00:00:53,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,2,0,1,0,1,0,0
"DAVIS,EVAN","HALL,RILEY","KIRSCH,MAXWELL","LEVINE,JD","MYERS,PATRICK",00:01:59,-3,3,3,0,0,0,1,0,0,1,1,2,6,3,0,0,0,1,0,1,0,1,2
"DAVIS,EVAN","HALL,RILEY","KIRSCH,MAXWELL","LYNDS,SCOTT","MYERS,PATRICK",00:00:39,-3,0,2,0,0,2,0,2,0,0,0,0,3,3,0,0,1,0,0,0,0,0,6
"DAVIS,EVAN","HALL,RILEY","KIRSCH,MAXWELL","MYERS,PATRICK","SCARLETT,MICHAEL",00:00:36,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"DAVIS,EVAN","HALL,RILEY","KUSCH,RYAN","LEVINE,JD","MORRIS,KENDRICK",00:01:03,0,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
"DAVIS,EVAN","HALL,RILEY","KUSCH,RYAN","LEVINE,JD","MYERS,PATRICK",00:01:14,-3,0,1,0,1,1,0,2,0,0,0,0,3,2,0,0,1,0,0,1,1,0,0
"DAVIS,EVAN","HALL,RILEY","KUSCH,RYAN","MADDOCK,ANDREW","SCARLETT,MICHAEL",00:01:33,2,2,2,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
"DAVIS,EVAN","HALL,RILEY","KUSCH,RYAN","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:02:04,3,5,4,0,0,2,2,1,0,0,0,2,2,3,1,0,1,1,1,0,0,0,0
"DAVIS,EVAN","HALL,RILEY","KUSCH,RYAN","MYERS,PATRICK","SCARLETT,MICHAEL",00:00:35,-2,0,1,0,0,1,0,1,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0
"DAVIS,EVAN","HALL,RILEY","KUSCH,RYAN","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"DAVIS,EVAN","HALL,RILEY","LEVINE,JD","MORRIS,KENDRICK","PRESIDENT,MILES",00:01:23,1,3,1,0,0,0,0,0,1,0,1,0,2,2,0,1,1,0,1,0,1,0,2
"DAVIS,EVAN","HALL,RILEY","LEVINE,JD","MYERS,PATRICK","PRESIDENT,MILES",00:01:14,5,5,3,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0,0
"DAVIS,EVAN","HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES",00:06:01,0,10,7,0,1,3,2,1,2,3,2,0,10,8,0,2,3,2,3,1,2,0,4
"DAVIS,EVAN","HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:04:01,6,10,6,0,1,2,3,0,0,3,2,5,4,5,0,0,3,2,0,0,3,2,0
"DAVIS,EVAN","HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES",00:07:48,7,16,14,5,5,2,5,3,2,4,4,0,9,14,5,0,4,1,1,1,4,1,4
"DAVIS,EVAN","HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK","SCARLETT,MICHAEL",00:06:10,-1,10,11,1,0,6,2,3,2,1,3,4,11,10,2,0,4,1,3,3,1,2,0
"DAVIS,EVAN","HALL,RILEY","MADDOCK,ANDREW","PRESIDENT,MILES","SCARLETT,MICHAEL",00:03:55,0,7,6,1,0,2,2,2,1,0,1,0,7,6,0,0,3,3,2,0,0,0,2
"DAVIS,EVAN","HALL,RILEY","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:45:11,33,102,79,8,8,26,30,21,6,11,13,27,69,71,12,5,32,14,21,10,14,15,13
"DAVIS,EVAN","HALL,RILEY","MORRIS,KENDRICK","PRESIDENT,MILES","SUI,MARK",00:00:50,5,5,2,0,0,0,1,0,1,0,1,0,0,2,0,0,2,0,0,0,1,0,2
"DAVIS,EVAN","HALL,RILEY","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:18:30,6,38,29,5,3,8,8,7,5,4,8,8,32,29,5,5,11,4,9,6,6,5,8
"DAVIS,EVAN","HORN,JEREMY","KIRSCH,MAXWELL","KUSCH,RYAN","LEVINE,JD",00:01:14,-2,0,2,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0
"DAVIS,EVAN","HORN,JEREMY","KIRSCH,MAXWELL","KUSCH,RYAN","SCARLETT,MICHAEL",00:01:57,-2,0,3,2,1,1,0,2,0,0,0,0,2,2,0,1,1,1,2,0,0,0,0
"DAVIS,EVAN","HORN,JEREMY","KIRSCH,MAXWELL","LEVINE,JD","SCARLETT,MICHAEL",00:00:49,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"DAVIS,EVAN","HORN,JEREMY","KIRSCH,MAXWELL","MKPADO,KELE","SUI,MARK",00:00:42,1,1,3,2,1,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0
"DAVIS,EVAN","HORN,JEREMY","KUSCH,RYAN","LEVINE,JD","MKPADO,KELE",00:01:33,2,4,4,2,0,0,2,0,0,0,1,0,2,3,1,0,1,0,1,0,0,0,2
"DAVIS,EVAN","HORN,JEREMY","KUSCH,RYAN","LEVINE,JD","SCARLETT,MICHAEL",00:00:45,0,2,2,0,0,0,1,1,0,0,0,0,2,3,0,0,2,0,1,0,1,0,2
"DAVIS,EVAN","HORN,JEREMY","LEVINE,JD","MKPADO,KELE","WALKER,GEORGE",00:01:01,0,3,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,1,0
"DAVIS,EVAN","HORN,JEREMY","MKPADO,KELE","PRESIDENT,MILES","SUI,MARK",00:00:43,1,2,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,2
"DAVIS,EVAN","KIRSCH,MAXWELL","KUSCH,RYAN","LYNDS,SCOTT","MORRIS,KENDRICK",00:00:42,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"DAVIS,EVAN","KIRSCH,MAXWELL","KUSCH,RYAN","MYERS,PATRICK","SCARLETT,MICHAEL",00:00:56,-2,0,2,1,0,1,0,0,0,1,0,0,2,2,0,1,1,1,2,0,0,0,0
"DAVIS,EVAN","KIRSCH,MAXWELL","LEVINE,JD","MADDOCK,ANDREW","MKPADO,KELE",00:00:57,-2,2,1,0,1,0,1,0,0,1,0,0,4,3,1,0,0,0,0,0,0,0,4
"DAVIS,EVAN","KIRSCH,MAXWELL","LEVINE,JD","MADDOCK,ANDREW","SCARLETT,MICHAEL",00:00:13,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAVIS,EVAN","KIRSCH,MAXWELL","LEVINE,JD","MORRIS,KENDRICK","PRESIDENT,MILES",00:01:49,3,6,4,0,0,1,0,1,2,0,2,0,3,2,1,0,0,0,1,1,0,1,0
"DAVIS,EVAN","KIRSCH,MAXWELL","LEVINE,JD","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:00:07,-3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1
"DAVIS,EVAN","KIRSCH,MAXWELL","LEVINE,JD","MYERS,PATRICK","SCARLETT,MICHAEL",00:01:49,-1,3,2,0,0,1,0,1,1,0,1,0,4,2,0,1,0,1,1,0,0,0,2
"DAVIS,EVAN","KIRSCH,MAXWELL","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES",00:01:50,0,3,2,1,0,0,0,0,1,0,1,0,3,2,0,0,1,0,0,1,1,1,0
"DAVIS,EVAN","KIRSCH,MAXWELL","LYNDS,SCOTT","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:01:58,1,6,4,1,1,0,3,1,0,0,0,0,5,5,2,0,1,1,0,1,1,1,0
"DAVIS,EVAN","KIRSCH,MAXWELL","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:49,-3,2,1,0,0,0,1,0,0,0,1,0,5,2,0,0,0,0,0,1,0,1,2
"DAVIS,EVAN","KIRSCH,MAXWELL","MORRIS,KENDRICK","SCARLETT,MICHAEL","SUI,MARK",00:02:33,10,12,5,0,2,0,3,0,2,2,3,0,2,4,0,0,2,1,3,0,0,0,0
"DAVIS,EVAN","KIRSCH,MAXWELL","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:03:29,-2,4,7,2,0,3,2,2,0,1,1,0,6,6,3,1,1,3,2,0,0,0,0
"DAVIS,EVAN","KUSCH,RYAN","LEVINE,JD","MYERS,PATRICK","SCARLETT,MICHAEL",00:03:34,3,9,6,1,0,2,0,0,3,0,3,4,6,6,2,0,1,3,1,0,0,1,0
"DAVIS,EVAN","KUSCH,RYAN","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES",00:02:04,-4,2,4,3,0,0,1,0,0,0,0,0,6,5,0,0,2,2,2,0,0,1,2
"ELY,JACK","HALL,RILEY","HORN,JEREMY","LYNDS,SCOTT","PRESIDENT,MILES",00:06:06,-5,8,10,1,1,5,3,5,0,1,1,2,13,12,3,3,4,4,5,1,1,2,3
"ELY,JACK","HALL,RILEY","HORN,JEREMY","LYNDS,SCOTT","SCARLETT,MICHAEL",00:04:04,-2,4,6,0,0,3,2,4,0,0,1,0,6,9,3,1,3,3,1,0,3,1,1
"ELY,JACK","HALL,RILEY","KIRSCH,MAXWELL","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:03:35,1,6,7,0,0,4,3,2,0,2,1,0,5,7,1,0,3,2,1,0,2,0,2
"ELY,JACK","HALL,RILEY","KUSCH,RYAN","MADDOCK,ANDREW","SCARLETT,MICHAEL",00:01:01,0,0,3,2,0,1,0,1,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0
"ELY,JACK","HALL,RILEY","KUSCH,RYAN","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:04:22,-1,8,6,1,1,1,3,1,0,1,1,2,9,8,2,0,3,1,1,2,0,2,3
"ELY,JACK","HALL,RILEY","KUSCH,RYAN","MYERS,PATRICK","PRESIDENT,MILES",00:02:16,-3,2,4,0,1,3,1,3,0,1,0,0,5,4,1,0,1,2,0,0,0,2,2
"ELY,JACK","HALL,RILEY","KUSCH,RYAN","MYERS,PATRICK","SCARLETT,MICHAEL",00:02:28,6,8,6,2,1,1,1,1,1,0,1,4,2,4,1,1,2,1,3,0,0,0,0
"ELY,JACK","HALL,RILEY","LEVINE,JD","MORRIS,KENDRICK","PRESIDENT,MILES",00:00:26,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"ELY,JACK","HALL,RILEY","LEVINE,JD","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:01:04,0,0,1,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0
"ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES",00:01:31,-1,1,3,2,2,1,0,2,0,0,0,2,2,1,0,0,0,1,0,0,0,1,0
"ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:15:15,14,35,28,3,4,10,12,8,2,3,5,10,21,29,8,2,10,3,10,2,1,4,12
"ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES",00:04:17,-3,8,8,0,0,5,4,4,0,0,3,1,11,8,2,0,1,4,0,1,1,2,0
"ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK","SCARLETT,MICHAEL",00:12:45,-1,21,19,3,1,6,7,2,1,5,1,5,22,21,3,0,9,5,6,3,2,2,4
"ELY,JACK","HALL,RILEY","LYNDS,SCOTT","PRESIDENT,MILES","SCARLETT,MICHAEL",00:00:49,4,6,5,1,0,2,0,0,0,0,0,8,2,4,0,0,3,1,1,0,2,0,0
"ELY,JACK","HALL,RILEY","MADDOCK,ANDREW","PRESIDENT,MILES","SCARLETT,MICHAEL",00:02:09,-5,0,2,1,0,1,0,0,0,1,0,0,5,4,0,1,2,0,1,1,2,0,2
"ELY,JACK","HALL,RILEY","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",01:19:40,36,162,128,22,22,33,47,29,11,16,31,51,126,132,28,17,47,32,26,13,34,19,32
"ELY,JACK","HALL,RILEY","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:33:18,-13,33,49,12,5,20,13,12,0,13,5,8,46,46,11,7,16,13,10,5,10,8,9
"ELY,JACK","HORN,JEREMY","KIRSCH,MAXWELL","LYNDS,SCOTT","SCARLETT,MICHAEL",00:03:53,6,10,6,0,0,2,2,1,2,1,2,0,4,6,1,0,4,0,3,1,0,1,2
"ELY,JACK","KIRSCH,MAXWELL","KUSCH,RYAN","LEVINE,JD","MYERS,PATRICK",00:01:17,4,5,2,0,1,0,1,1,1,0,1,0,1,2,1,1,0,0,1,0,0,0,2
"ELY,JACK","KIRSCH,MAXWELL","KUSCH,RYAN","LYNDS,SCOTT","MORRIS,KENDRICK",00:01:29,-1,3,2,0,1,1,1,1,0,1,0,1,4,3,1,0,0,2,0,0,0,0,0
"ELY,JACK","KIRSCH,MAXWELL","KUSCH,RYAN","MYERS,PATRICK","SCARLETT,MICHAEL",00:00:47,3,3,1,0,0,0,0,0,1,0,1,0,0,2,1,0,1,0,1,0,0,0,0
"ELY,JACK","KIRSCH,MAXWELL","LEVINE,JD","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:00:11,-3,0,0,0,1,0,0,1,0,0,0,0,3,2,1,0,0,0,0,1,0,1,0
