player,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"MKPADO,KELE",0:19:01,7,35,33,7,8,12,9,10,4,7,7,10,28,32,13,3,6,4,6,1,1,1,21
"MADDOCK,ANDREW",0:34:13,8,62,55,14,8,13,15,12,8,10,10,13,54,56,8,7,25,9,16,5,12,7,26
"KEINAN,DANIEL",0:03:26,-3,5,6,1,4,2,2,3,0,3,0,2,8,6,1,0,1,2,1,0,0,0,4
"LEVINE,JD",1:22:23,4,146,131,22,21,39,35,37,21,25,35,22,142,135,30,16,46,32,39,15,20,22,41
"PRESIDENT,MILES",12:21:45,168,1399,1234,239,165,373,375,311,134,190,264,324,1231,1207,209,140,470,295,324,136,242,221,323
"HALL,RILEY",13:34:18,224,1534,1349,255,183,419,422,330,145,225,289,348,1310,1332,246,142,522,310,358,151,262,229,330
"KUSCH,RYAN",2:03:58,-8,213,209,50,26,65,58,55,19,27,42,56,221,223,43,20,83,65,57,16,28,38,71
"DAVIS,EVAN",6:16:55,46,671,613,122,84,197,185,155,67,105,121,143,625,604,103,80,233,147,176,70,117,108,167
"SUI,MARK",0:16:42,16,36,28,6,6,8,9,8,5,4,7,7,20,29,8,2,10,4,7,1,3,1,15
"KIRSCH,MAXWELL",3:00:13,-22,297,294,59,44,101,83,90,32,56,58,48,319,300,53,31,106,76,74,32,53,55,99
"MORRIS,KENDRICK",9:49:44,183,1158,995,195,141,286,324,234,103,160,217,269,975,977,171,103,384,236,273,113,181,172,235
"HORN,JEREMY",1:21:47,15,142,136,24,23,50,36,43,20,27,28,19,127,137,25,19,58,34,46,10,19,19,46
"SCARLETT,MICHAEL",14:53:53,204,1673,1492,280,199,471,454,377,158,246,312,394,1469,1477,272,156,574,354,395,161,280,259,384
"MYERS,PATRICK",5:27:02,-7,534,517,95,67,186,148,146,52,90,105,117,541,521,107,60,184,129,125,59,106,101,142
"ELY,JACK",8:34:46,29,891,843,165,123,278,263,223,68,143,158,231,862,851,171,94,311,215,217,91,150,146,228
"GARVIN,SAM",0:06:20,2,10,10,1,1,5,3,4,1,1,2,2,8,11,1,0,6,2,3,0,3,0,4
"WALKER,GEORGE",0:08:11,2,14,13,1,3,6,2,6,2,2,3,6,12,13,5,1,3,1,3,1,0,1,9
"LYNDS,SCOTT",6:43:48,142,785,672,124,94,214,207,166,86,119,152,159,643,664,119,66,268,150,180,73,133,120,175
