player 1,player 2,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"DAVIS,EVAN","SUI,MARK",00:07:37,22,25,13,2,4,2,6,2,4,3,5,3,3,11,4,1,4,1,3,0,2,0,4
"DAVIS,EVAN","SCARLETT,MICHAEL",04:31:35,33,489,451,83,59,153,135,122,45,75,85,115,456,443,76,57,173,109,131,51,83,79,113
"KUSCH,RYAN","GARVIN,SAM",00:02:26,-2,4,4,1,0,2,0,1,1,0,1,2,6,5,1,0,1,1,1,0,0,0,4
"SCARLETT,MICHAEL","WALKER,GEORGE",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYERS,PATRICK","HORN,JEREMY",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYERS,PATRICK","ELY,JACK",02:42:22,-46,220,252,51,32,101,68,80,16,45,37,52,266,246,46,27,90,67,60,31,50,49,56
"PRESIDENT,MILES","HORN,JEREMY",00:27:15,-10,41,42,5,8,19,9,16,6,8,5,10,51,44,6,13,17,13,18,5,6,7,18
"HALL,RILEY","SCARLETT,MICHAEL",12:08:23,219,1390,1215,226,163,376,379,299,129,198,259,329,1171,1194,224,125,467,276,316,136,235,209,291
"HORN,JEREMY","SCARLETT,MICHAEL",00:50:47,13,89,85,12,13,33,21,28,14,17,16,10,76,87,11,12,43,22,31,6,15,13,26
"KUSCH,RYAN","MKPADO,KELE",00:06:53,1,12,14,4,1,5,3,3,1,2,3,4,11,13,5,1,3,2,3,0,0,0,8
"ELY,JACK","KIRSCH,MAXWELL",01:31:16,-31,136,143,27,25,54,39,50,14,30,22,23,167,147,27,13,48,41,34,21,25,36,33
"DAVIS,EVAN","LYNDS,SCOTT",01:21:56,12,144,127,27,21,38,49,29,11,23,27,25,132,131,21,17,50,30,32,15,31,27,40
"HORN,JEREMY","KEINAN,DANIEL",00:03:26,-3,5,6,1,4,2,2,3,0,3,0,2,8,6,1,0,1,2,1,0,0,0,4
"MYERS,PATRICK","LEVINE,JD",00:27:37,2,52,41,3,8,11,13,15,7,5,13,10,50,42,7,5,14,13,8,6,10,8,10
"DAVIS,EVAN","GARVIN,SAM",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAVIS,EVAN","HORN,JEREMY",00:37:16,-1,63,65,17,10,22,15,15,9,13,13,13,64,60,12,11,21,16,18,6,11,11,19
"KUSCH,RYAN","SCARLETT,MICHAEL",01:28:25,12,171,155,32,16,47,43,38,17,19,33,46,159,165,32,14,63,47,40,13,23,29,48
"HORN,JEREMY","LEVINE,JD",00:26:02,17,53,44,11,5,12,12,10,9,6,13,4,36,42,8,2,19,10,13,2,6,6,13
"KUSCH,RYAN","MADDOCK,ANDREW",00:06:28,8,14,13,5,1,1,2,2,2,0,2,5,6,12,1,0,9,1,3,1,5,1,2
"KUSCH,RYAN","MYERS,PATRICK",00:43:35,-13,73,72,15,8,26,19,19,8,10,18,19,86,82,18,9,26,27,23,6,8,17,22
"MYERS,PATRICK","SUI,MARK",00:00:39,-3,0,1,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0
"HORN,JEREMY","KIRSCH,MAXWELL",00:21:45,6,34,37,9,7,11,10,11,4,8,7,4,28,34,8,5,14,6,14,3,1,4,11
"WALKER,GEORGE","KEINAN,DANIEL",00:01:54,-1,3,3,0,3,1,1,2,0,2,0,2,4,3,0,0,1,1,1,0,0,0,2
"HALL,RILEY","ELY,JACK",06:34:47,61,703,651,128,88,212,209,157,54,111,130,178,642,656,136,70,242,160,167,67,118,103,167
"LYNDS,SCOTT","KIRSCH,MAXWELL",01:09:54,23,132,112,18,12,42,33,30,17,22,28,19,109,115,19,9,47,21,24,13,26,18,44
"MADDOCK,ANDREW","GARVIN,SAM",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
